WORD: theatrical, FREQ: 1
WORD: poster, FREQ: 1
WORD: edited, FREQ: 1
WORD: distributed, FREQ: 1
WORD: december 12, FREQ: 1
WORD: december 20, FREQ: 1
WORD: language, FREQ: 1
WORD: north america, FREQ: 1
WORD: partially, FREQ: 1
WORD: novel, FREQ: 1
WORD: presenting, FREQ: 1
WORD: dramas, FREQ: 1
WORD: picks, FREQ: 1
WORD: protecting, FREQ: 1
WORD: aftermath, FREQ: 1
WORD: covers, FREQ: 1
WORD: journey, FREQ: 1
WORD: founding, FREQ: 1
WORD: enterprise, FREQ: 1
WORD: winner, FREQ: 1
WORD: widespread, FREQ: 1
WORD: acclaim, FREQ: 1
WORD: deeming, FREQ: 1
WORD: superior, FREQ: 1
WORD: eleven, FREQ: 1
WORD: wins, FREQ: 1
WORD: bafta, FREQ: 1
WORD: highly, FREQ: 1
WORD: influential, FREQ: 1
WORD: genre, FREQ: 1
WORD: retained, FREQ: 1
WORD: position, FREQ: 1
WORD: preservation, FREQ: 1
WORD: deemed, FREQ: 1
WORD: culturally, FREQ: 1
WORD: historically, FREQ: 1
WORD: aesthetically, FREQ: 1
WORD: significant, FREQ: 1
WORD: contents, FREQ: 1
WORD: nine, FREQ: 1
WORD: andolini, FREQ: 1
WORD: insults, FREQ: 1
WORD: mafia, FREQ: 1
WORD: chieftain, FREQ: 1
WORD: escapes, FREQ: 1
WORD: registered, FREQ: 1
WORD: ellis, FREQ: 1
WORD: island, FREQ: 1
WORD: communion, FREQ: 1
WORD: party, FREQ: 1
WORD: meetings, FREQ: 1
WORD: dismayed, FREQ: 1
WORD: defend, FREQ: 1
WORD: brooklyn, FREQ: 1
WORD: territory, FREQ: 1
WORD: brothers, FREQ: 1
WORD: leaves, FREQ: 1
WORD: surviving, FREQ: 1
WORD: loses, FREQ: 1
WORD: job, FREQ: 1
WORD: nepotism, FREQ: 1
WORD: extortionist, FREQ: 1
WORD: subsequently, FREQ: 1
WORD: invited, FREQ: 1
WORD: burglary, FREQ: 1
WORD: neighbor, FREQ: 1
WORD: suspects, FREQ: 1
WORD: planning, FREQ: 1
WORD: meets, FREQ: 1
WORD: miami, FREQ: 1
WORD: feigns, FREQ: 1
WORD: attempts, FREQ: 1
WORD: maintain, FREQ: 1
WORD: façade, FREQ: 1
WORD: peace, FREQ: 1
WORD: kill, FREQ: 1
WORD: several, FREQ: 1
WORD: travel, FREQ: 1
WORD: havana, FREQ: 1
WORD: discuss, FREQ: 1
WORD: future, FREQ: 1
WORD: prospects, FREQ: 1
WORD: cooperative, FREQ: 1
WORD: government, FREQ: 1
WORD: fulgencio, FREQ: 1
WORD: becomes, FREQ: 1
WORD: reluctant, FREQ: 1
WORD: reconsidering, FREQ: 1
WORD: viability, FREQ: 1
WORD: ongoing, FREQ: 1
WORD: revolution, FREQ: 1
WORD: tries, FREQ: 1
WORD: right, FREQ: 1
WORD: hand, FREQ: 1
WORD: survives, FREQ: 1
WORD: discovered, FREQ: 1
WORD: police, FREQ: 1
WORD: accuses, FREQ: 1
WORD: betrayal, FREQ: 1
WORD: inadvertently, FREQ: 1
WORD: met, FREQ: 1
WORD: previously, FREQ: 1
WORD: abruptly, FREQ: 1
WORD: abdicates, FREQ: 1
WORD: rebel, FREQ: 1
WORD: advances, FREQ: 1
WORD: ensuing, FREQ: 1
WORD: chaos, FREQ: 1
WORD: back, FREQ: 1
WORD: miscarried, FREQ: 1
WORD: sons, FREQ: 1
WORD: conduct, FREQ: 1
WORD: attracts, FREQ: 1
WORD: attention, FREQ: 1
WORD: extorts, FREQ: 1
WORD: wish, FREQ: 1
WORD: avoid, FREQ: 1
WORD: trouble, FREQ: 1
WORD: paying, FREQ: 1
WORD: full, FREQ: 1
WORD: insists, FREQ: 1
WORD: convince, FREQ: 1
WORD: accept, FREQ: 1
WORD: smaller, FREQ: 1
WORD: payment, FREQ: 1
WORD: offer, FREQ: 1
WORD: refuse, FREQ: 1
WORD: neighborhood, FREQ: 1
WORD: festa, FREQ: 1
WORD: stalks, FREQ: 1
WORD: shoots, FREQ: 1
WORD: washington, FREQ: 1
WORD: senate, FREQ: 1
WORD: organized, FREQ: 1
WORD: investigating, FREQ: 1
WORD: survived, FREQ: 1
WORD: earlier, FREQ: 1
WORD: testify, FREQ: 1
WORD: believes, FREQ: 1
WORD: double, FREQ: 1
WORD: crossed, FREQ: 1
WORD: placed, FREQ: 1
WORD: respected, FREQ: 1
WORD: figure, FREQ: 1
WORD: community, FREQ: 1
