WORD: godfather, FREQ: 171
WORD: film, FREQ: 147
WORD: july, FREQ: 116
WORD: retrieved, FREQ: 114
WORD: coppola, FREQ: 105
WORD: corleone, FREQ: 82
WORD: original, FREQ: 78
WORD: best, FREQ: 72
WORD: archived, FREQ: 61
WORD: family, FREQ: 56
WORD: new, FREQ: 50
WORD: american, FREQ: 48
WORD: michael, FREQ: 46
WORD: march, FREQ: 43
WORD: paramount, FREQ: 42
WORD: york, FREQ: 42
WORD: lebo, FREQ: 42
WORD: brando, FREQ: 41
WORD: vito, FREQ: 39
WORD: time, FREQ: 37
WORD: part, FREQ: 36
WORD: films, FREQ: 31
WORD: puzo, FREQ: 29
WORD: don, FREQ: 29
WORD: rota, FREQ: 27
WORD: edit, FREQ: 27
WORD: pacino, FREQ: 26
WORD: actor, FREQ: 25
WORD: years, FREQ: 25
WORD: awards, FREQ: 25
WORD: sonny, FREQ: 22
WORD: francis, FREQ: 21
WORD: role, FREQ: 21
WORD: movie, FREQ: 21
WORD: two, FREQ: 21
WORD: january, FREQ: 21
WORD: picture, FREQ: 20
WORD: italian, FREQ: 20
WORD: novel, FREQ: 19
WORD: ford, FREQ: 19
WORD: million, FREQ: 19
WORD: score, FREQ: 19
WORD: institute, FREQ: 19
WORD: times, FREQ: 19
WORD: scene, FREQ: 18
WORD: november, FREQ: 18
WORD: nominated, FREQ: 18
WORD: jones, FREQ: 18
WORD: al, FREQ: 17
WORD: music, FREQ: 17
WORD: company, FREQ: 17
WORD: office, FREQ: 17
WORD: filming, FREQ: 17
WORD: won, FREQ: 17
WORD: ii, FREQ: 17
WORD: academy, FREQ: 17
WORD: box, FREQ: 16
WORD: america, FREQ: 16
WORD: scenes, FREQ: 16
WORD: inc, FREQ: 16
WORD: movies, FREQ: 16
WORD: afi, FREQ: 16
WORD: release, FREQ: 15
WORD: caan, FREQ: 15
WORD: robert, FREQ: 15
WORD: nino, FREQ: 15
WORD: production, FREQ: 15
WORD: mafia, FREQ: 15
WORD: august, FREQ: 15
WORD: de, FREQ: 15
WORD: top, FREQ: 15
WORD: screenplay, FREQ: 14
WORD: peter, FREQ: 14
WORD: story, FREQ: 14
WORD: director, FREQ: 14
WORD: one, FREQ: 14
WORD: greatest, FREQ: 14
WORD: also, FREQ: 14
WORD: hollywood, FREQ: 14
WORD: work, FREQ: 14
WORD: press, FREQ: 14
WORD: mario, FREQ: 13
WORD: executives, FREQ: 13
WORD: tattaglia, FREQ: 13
WORD: set, FREQ: 13
WORD: wanted, FREQ: 13
WORD: award, FREQ: 13
WORD: based, FREQ: 12
WORD: marlon, FREQ: 12
WORD: budget, FREQ: 12
WORD: play, FREQ: 12
WORD: made, FREQ: 12
WORD: restoration, FREQ: 12
WORD: johnny, FREQ: 12
WORD: tom, FREQ: 12
WORD: released, FREQ: 12
WORD: five, FREQ: 12
WORD: sicily, FREQ: 12
WORD: make, FREQ: 12
WORD: september, FREQ: 12
WORD: april, FREQ: 12
WORD: cowie, FREQ: 12
WORD: isbn 978, FREQ: 12
WORD: james, FREQ: 11
WORD: duvall, FREQ: 11
WORD: crime, FREQ: 11
WORD: studio, FREQ: 11
WORD: world, FREQ: 11
WORD: connie, FREQ: 11
WORD: son, FREQ: 11
WORD: martino, FREQ: 11
WORD: list, FREQ: 11
WORD: offer, FREQ: 11
WORD: around, FREQ: 11
WORD: three, FREQ: 11
WORD: motion, FREQ: 11
WORD: cbs, FREQ: 11
WORD: phillips, FREQ: 11
WORD: llc, FREQ: 11
WORD: richard, FREQ: 10
WORD: john, FREQ: 10
WORD: first, FREQ: 10
WORD: culture, FREQ: 10
WORD: television, FREQ: 10
WORD: life, FREQ: 10
WORD: can, FREQ: 10
WORD: news, FREQ: 10
WORD: december, FREQ: 10
WORD: june, FREQ: 10
WORD: drama, FREQ: 9
WORD: nominations, FREQ: 9
WORD: hagen, FREQ: 9
WORD: sollozzo, FREQ: 9
WORD: carlo, FREQ: 9
WORD: barzini, FREQ: 9
WORD: character, FREQ: 9
WORD: addition, FREQ: 9
WORD: book, FREQ: 9
WORD: love, FREQ: 9
WORD: date, FREQ: 9
WORD: soundtrack, FREQ: 9
WORD: golden, FREQ: 9
WORD: october, FREQ: 9
WORD: ruddy, FREQ: 8
WORD: supporting, FREQ: 8
WORD: cast, FREQ: 8
WORD: media, FREQ: 8
WORD: kay, FREQ: 8
WORD: fontane, FREQ: 8
WORD: business, FREQ: 8
WORD: sicilian, FREQ: 8
WORD: associated, FREQ: 8
WORD: later, FREQ: 8
WORD: received, FREQ: 8
WORD: believed, FREQ: 8
WORD: city, FREQ: 8
WORD: re, FREQ: 8
WORD: used, FREQ: 8
WORD: hill, FREQ: 8
WORD: sound, FREQ: 8
WORD: ebert, FREQ: 8
WORD: tribune, FREQ: 8
WORD: may, FREQ: 8
WORD: santopietro, FREQ: 8
WORD: see, FREQ: 7
WORD: willis, FREQ: 7
WORD: united, FREQ: 7
WORD: several, FREQ: 7
WORD: carmine, FREQ: 7
WORD: oscar, FREQ: 7
WORD: second, FREQ: 7
WORD: game, FREQ: 7
WORD: father, FREQ: 7
WORD: fredo, FREQ: 7
WORD: las, FREQ: 7
WORD: vegas, FREQ: 7
WORD: day, FREQ: 7
WORD: eventually, FREQ: 7
WORD: along, FREQ: 7
WORD: agreed, FREQ: 7
WORD: rentals, FREQ: 7
WORD: going, FREQ: 7
WORD: shot, FREQ: 7
WORD: screen, FREQ: 7
WORD: felt, FREQ: 7
WORD: gave, FREQ: 7
WORD: critics, FREQ: 7
WORD: roger, FREQ: 7
WORD: chicago, FREQ: 7
WORD: refuse, FREQ: 7
WORD: british, FREQ: 7
WORD: dvd, FREQ: 7
WORD: theatrical, FREQ: 6
WORD: states, FREQ: 6
WORD: iii, FREQ: 6
WORD: gangster, FREQ: 6
WORD: video, FREQ: 6
WORD: head, FREQ: 6
WORD: jack, FREQ: 6
WORD: greene, FREQ: 6
WORD: clemenza, FREQ: 6
WORD: last, FREQ: 6
WORD: rizzi, FREQ: 6
WORD: four, FREQ: 6
WORD: announced, FREQ: 6
WORD: evans, FREQ: 6
WORD: took, FREQ: 6
WORD: order, FREQ: 6
WORD: roles, FREQ: 6
WORD: many, FREQ: 6
WORD: final, FREQ: 6
WORD: star, FREQ: 6
WORD: year, FREQ: 6
WORD: anthony, FREQ: 6
WORD: use, FREQ: 6
WORD: days, FREQ: 6
WORD: great, FREQ: 6
WORD: metacritic, FREQ: 6
WORD: sun, FREQ: 6
WORD: man, FREQ: 6
WORD: february, FREQ: 6
WORD: magazine, FREQ: 6
WORD: weekly, FREQ: 6
WORD: interactive, FREQ: 6
WORD: classic, FREQ: 6
WORD: org, FREQ: 6
WORD: directed, FREQ: 5
WORD: albert, FREQ: 5
WORD: pictures, FREQ: 5
WORD: additional, FREQ: 5
WORD: highest, FREQ: 5
WORD: ever, FREQ: 5
WORD: adapted, FREQ: 5
WORD: selected, FREQ: 5
WORD: national, FREQ: 5
WORD: ranked, FREQ: 5
WORD: popular, FREQ: 5
WORD: legacy, FREQ: 5
WORD: home, FREQ: 5
WORD: wedding, FREQ: 5
WORD: adams, FREQ: 5
WORD: help, FREQ: 5
WORD: christmas, FREQ: 5
WORD: luca, FREQ: 5
WORD: brasi, FREQ: 5
WORD: murder, FREQ: 5
WORD: despite, FREQ: 5
WORD: families, FREQ: 5
WORD: end, FREQ: 5
WORD: now, FREQ: 5
WORD: wife, FREQ: 5
WORD: tessio, FREQ: 5
WORD: mother, FREQ: 5
WORD: old, FREQ: 5
WORD: salvatore, FREQ: 5
WORD: king, FREQ: 5
WORD: paulie, FREQ: 5
WORD: months, FREQ: 5
WORD: history, FREQ: 5
WORD: much, FREQ: 5
WORD: finished, FREQ: 5
WORD: accepted, FREQ: 5
WORD: low, FREQ: 5
WORD: job, FREQ: 5
WORD: gross, FREQ: 5
WORD: period, FREQ: 5
WORD: costs, FREQ: 5
WORD: led, FREQ: 5
WORD: stated, FREQ: 5
WORD: draft, FREQ: 5
WORD: pages, FREQ: 5
WORD: wrote, FREQ: 5
WORD: created, FREQ: 5
WORD: still, FREQ: 5
WORD: league, FREQ: 5
WORD: show, FREQ: 5
WORD: due, FREQ: 5
WORD: success, FREQ: 5
WORD: however, FREQ: 5
WORD: george, FREQ: 5
WORD: stanley, FREQ: 5
WORD: according, FREQ: 5
WORD: given, FREQ: 5
WORD: like, FREQ: 5
WORD: week, FREQ: 5
WORD: filmed, FREQ: 5
WORD: including, FREQ: 5
WORD: theme, FREQ: 5
WORD: record, FREQ: 5
WORD: worldwide, FREQ: 5
WORD: rotten, FREQ: 5
WORD: tomatoes, FREQ: 5
WORD: review, FREQ: 5
WORD: globe, FREQ: 5
WORD: ceremony, FREQ: 5
WORD: costume, FREQ: 5
WORD: guild, FREQ: 5
WORD: entertainment, FREQ: 5
WORD: trilogy, FREQ: 5
WORD: look, FREQ: 5
WORD: inside, FREQ: 5
WORD: mojo, FREQ: 5
WORD: daily, FREQ: 5
WORD: gazette, FREQ: 5
WORD: stefano, FREQ: 5
WORD: pdf, FREQ: 5
WORD: produced, FREQ: 4
WORD: diane, FREQ: 4
WORD: rights, FREQ: 4
WORD: price, FREQ: 4
WORD: turned, FREQ: 4
WORD: location, FREQ: 4
WORD: grossing, FREQ: 4
WORD: oscars, FREQ: 4
WORD: included, FREQ: 4
WORD: cinema, FREQ: 4
WORD: library, FREQ: 4
WORD: behind, FREQ: 4
WORD: notes, FREQ: 4
WORD: daughter, FREQ: 4
WORD: singer, FREQ: 4
WORD: los, FREQ: 4
WORD: angeles, FREQ: 4
WORD: woltz, FREQ: 4
WORD: born, FREQ: 4
WORD: another, FREQ: 4
WORD: attempt, FREQ: 4
WORD: captain, FREQ: 4
WORD: bodyguard, FREQ: 4
WORD: meet, FREQ: 4
WORD: men, FREQ: 4
WORD: brother, FREQ: 4
WORD: moe, FREQ: 4
WORD: will, FREQ: 4
WORD: telling, FREQ: 4
WORD: close, FREQ: 4
WORD: initially, FREQ: 4
WORD: ultimately, FREQ: 4
WORD: caporegime, FREQ: 4
WORD: friend, FREQ: 4
WORD: mark, FREQ: 4
WORD: producer, FREQ: 4
WORD: gatto, FREQ: 4
WORD: philip, FREQ: 4
WORD: well, FREQ: 4
WORD: found, FREQ: 4
WORD: leone, FREQ: 4
WORD: bogdanovich, FREQ: 4
WORD: get, FREQ: 4
WORD: poor, FREQ: 4
WORD: directors, FREQ: 4
WORD: cut, FREQ: 4
WORD: per, FREQ: 4
WORD: fired, FREQ: 4
WORD: place, FREQ: 4
WORD: footage, FREQ: 4
WORD: revealed, FREQ: 4
WORD: quit, FREQ: 4
WORD: project, FREQ: 4
WORD: hired, FREQ: 4
WORD: screenplays, FREQ: 4
WORD: written, FREQ: 4
WORD: earned, FREQ: 4
WORD: olivier, FREQ: 4
WORD: actors, FREQ: 4
WORD: test, FREQ: 4
WORD: played, FREQ: 4
WORD: began, FREQ: 4
WORD: members, FREQ: 4
WORD: appeared, FREQ: 4
WORD: post, FREQ: 4
WORD: staff, FREQ: 4
WORD: theaters, FREQ: 4
WORD: north, FREQ: 4
WORD: since, FREQ: 4
WORD: reviews, FREQ: 4
WORD: voice, FREQ: 4
WORD: gene, FREQ: 4
WORD: vincent, FREQ: 4
WORD: intiso, FREQ: 4
WORD: anniversary, FREQ: 4
WORD: tv, FREQ: 4
WORD: winner, FREQ: 4
WORD: design, FREQ: 4
WORD: writers, FREQ: 4
WORD: poll, FREQ: 4
WORD: voted, FREQ: 4
WORD: empire, FREQ: 4
WORD: named, FREQ: 4
WORD: west, FREQ: 4
WORD: quotes, FREQ: 4
WORD: italic, FREQ: 4
WORD: effect, FREQ: 4
WORD: williams, FREQ: 4
WORD: night, FREQ: 4
WORD: network, FREQ: 4
WORD: collection, FREQ: 4
WORD: arts, FREQ: 4
WORD: turns, FREQ: 4
WORD: welsh, FREQ: 4
WORD: com, FREQ: 4
WORD: lucas, FREQ: 4
WORD: making, FREQ: 4
WORD: ben, FREQ: 4
WORD: secrets, FREQ: 4
WORD: amc, FREQ: 4
WORD: filmsite, FREQ: 4
WORD: ten, FREQ: 4
WORD: faber, FREQ: 4
WORD: kramer, FREQ: 4
WORD: article, FREQ: 3
WORD: uses, FREQ: 3
WORD: castellano, FREQ: 3
WORD: talia, FREQ: 3
WORD: shire, FREQ: 3
WORD: conte, FREQ: 3
WORD: keaton, FREQ: 3
WORD: country, FREQ: 3
WORD: english, FREQ: 3
WORD: stars, FREQ: 3
WORD: fictional, FREQ: 3
WORD: boss, FREQ: 3
WORD: finding, FREQ: 3
WORD: position, FREQ: 3
WORD: characters, FREQ: 3
WORD: composed, FREQ: 3
WORD: seven, FREQ: 3
WORD: genre, FREQ: 3
WORD: preservation, FREQ: 3
WORD: registry, FREQ: 3
WORD: plot, FREQ: 3
WORD: critical, FREQ: 3
WORD: response, FREQ: 3
WORD: war, FREQ: 3
WORD: famous, FREQ: 3
WORD: godson, FREQ: 3
WORD: consigliere, FREQ: 3
WORD: giving, FREQ: 3
WORD: virgil, FREQ: 3
WORD: asks, FREQ: 3
WORD: political, FREQ: 3
WORD: street, FREQ: 3
WORD: accept, FREQ: 3
WORD: mccluskey, FREQ: 3
WORD: agrees, FREQ: 3
WORD: takes, FREQ: 3
WORD: fire, FREQ: 3
WORD: apollonia, FREQ: 3
WORD: emilio, FREQ: 3
WORD: children, FREQ: 3
WORD: promising, FREQ: 3
WORD: corleones, FREQ: 3
WORD: carmela, FREQ: 3
WORD: main, FREQ: 3
WORD: underboss, FREQ: 3
WORD: irish, FREQ: 3
WORD: considered, FREQ: 3
WORD: russo, FREQ: 3
WORD: financial, FREQ: 3
WORD: rocco, FREQ: 3
WORD: opening, FREQ: 3
WORD: revenge, FREQ: 3
WORD: assassination, FREQ: 3
