WORD: shawshank, FREQ: 69
WORD: film, FREQ: 61
WORD: redemption, FREQ: 46
WORD: andy, FREQ: 44
WORD: retrieved, FREQ: 39
WORD: prison, FREQ: 28
WORD: red, FREQ: 23
WORD: years, FREQ: 22
WORD: afi, FREQ: 21
WORD: darabont, FREQ: 19
WORD: movies, FREQ: 19
WORD: best, FREQ: 18
WORD: king, FREQ: 16
WORD: two, FREQ: 16
WORD: one, FREQ: 15
WORD: freeman, FREQ: 14
WORD: july, FREQ: 14
WORD: frank, FREQ: 11
WORD: stephen, FREQ: 11
WORD: time, FREQ: 11
WORD: office, FREQ: 11
WORD: million, FREQ: 10
WORD: box, FREQ: 10
WORD: films, FREQ: 10
WORD: norton, FREQ: 10
WORD: ohio, FREQ: 10
WORD: movie, FREQ: 10
WORD: american, FREQ: 9
WORD: state, FREQ: 9
WORD: times, FREQ: 9
WORD: tree, FREQ: 9
WORD: score, FREQ: 9
WORD: awards, FREQ: 9
WORD: release, FREQ: 8
WORD: based, FREQ: 8
WORD: robbins, FREQ: 8
WORD: morgan, FREQ: 8
WORD: guards, FREQ: 8
WORD: tim, FREQ: 7
WORD: roger, FREQ: 7
WORD: states, FREQ: 7
WORD: warden, FREQ: 7
WORD: money, FREQ: 7
WORD: considered, FREQ: 7
WORD: anniversary, FREQ: 7
WORD: cast, FREQ: 7
WORD: role, FREQ: 7
WORD: mansfield, FREQ: 7
WORD: original, FREQ: 7
WORD: list, FREQ: 7
WORD: pdf, FREQ: 7
WORD: newman, FREQ: 6
WORD: story, FREQ: 6
WORD: dufresne, FREQ: 6
WORD: life, FREQ: 6
WORD: award, FREQ: 6
WORD: greatest, FREQ: 6
WORD: national, FREQ: 6
WORD: filming, FREQ: 6
WORD: also, FREQ: 6
WORD: later, FREQ: 6
WORD: hadley, FREQ: 6
WORD: made, FREQ: 6
WORD: september, FREQ: 6
WORD: number, FREQ: 6
WORD: august, FREQ: 6
WORD: screenplay, FREQ: 5
WORD: music, FREQ: 5
WORD: united, FREQ: 5
WORD: inmate, FREQ: 5
WORD: although, FREQ: 5
WORD: library, FREQ: 5
WORD: maine, FREQ: 5
WORD: another, FREQ: 5
WORD: back, FREQ: 5
WORD: well, FREQ: 5
WORD: come, FREQ: 5
WORD: interview, FREQ: 5
WORD: actors, FREQ: 5
WORD: actor, FREQ: 5
WORD: adaptation, FREQ: 5
WORD: reformatory, FREQ: 5
WORD: first, FREQ: 5
WORD: america, FREQ: 5
WORD: guild, FREQ: 5
WORD: top, FREQ: 5
WORD: archived, FREQ: 5
WORD: december, FREQ: 5
WORD: hollywood, FREQ: 5
WORD: carrie, FREQ: 5
WORD: see, FREQ: 4
WORD: directed, FREQ: 4
WORD: rita, FREQ: 4
WORD: hayworth, FREQ: 4
WORD: thomas, FREQ: 4
WORD: rock, FREQ: 4
WORD: entertainment, FREQ: 4
WORD: novella, FREQ: 4
WORD: penitentiary, FREQ: 4
WORD: ellis, FREQ: 4
WORD: redding, FREQ: 4
WORD: begins, FREQ: 4
WORD: using, FREQ: 4
WORD: laundering, FREQ: 4
WORD: received, FREQ: 4
WORD: nominations, FREQ: 4
WORD: institute, FREQ: 4
WORD: registry, FREQ: 4
WORD: critical, FREQ: 4
WORD: home, FREQ: 4
WORD: bogs, FREQ: 4
WORD: brooks, FREQ: 4
WORD: marriage, FREQ: 4
WORD: solitary, FREQ: 4
WORD: tommy, FREQ: 4
WORD: zihuatanejo, FREQ: 4
WORD: cell, FREQ: 4
WORD: letter, FREQ: 4
WORD: favorite, FREQ: 4
WORD: line, FREQ: 4
WORD: ebert, FREQ: 4
WORD: theme, FREQ: 4
WORD: great, FREQ: 4
WORD: mile, FREQ: 4
WORD: scenes, FREQ: 4
WORD: nominated, FREQ: 4
WORD: academy, FREQ: 4
WORD: october, FREQ: 4
WORD: golden, FREQ: 4
WORD: empire, FREQ: 4
WORD: radio, FREQ: 4
WORD: portal, FREQ: 4
WORD: may, FREQ: 4
WORD: reporter, FREQ: 4
WORD: creepshow, FREQ: 4
WORD: mangler, FREQ: 4
WORD: salem, FREQ: 4
WORD: lot, FREQ: 4
WORD: sometimes, FREQ: 4
WORD: poster, FREQ: 3
WORD: bob, FREQ: 3
WORD: gunton, FREQ: 3
WORD: brown, FREQ: 3
WORD: james, FREQ: 3
WORD: whitmore, FREQ: 3
WORD: cinematography, FREQ: 3
WORD: deakins, FREQ: 3
WORD: production, FREQ: 3
WORD: adapted, FREQ: 3
WORD: murder, FREQ: 3
WORD: boyd, FREQ: 3
WORD: finds, FREQ: 3
WORD: multiple, FREQ: 3
WORD: oscar, FREQ: 3
WORD: reviews, FREQ: 3
WORD: critics, FREQ: 3
WORD: since, FREQ: 3
WORD: television, FREQ: 3
WORD: included, FREQ: 3
WORD: edition, FREQ: 3
WORD: themes, FREQ: 3
WORD: media, FREQ: 3
WORD: celebration, FREQ: 3
WORD: convicted, FREQ: 3
WORD: serving, FREQ: 3
WORD: sisters, FREQ: 3
WORD: samuel, FREQ: 3
WORD: people, FREQ: 3
WORD: weekly, FREQ: 3
WORD: figaro, FREQ: 3
WORD: public, FREQ: 3
WORD: confinement, FREQ: 3
WORD: hope, FREQ: 3
WORD: works, FREQ: 3
WORD: released, FREQ: 3
WORD: night, FREQ: 3
WORD: beach, FREQ: 3
WORD: paul, FREQ: 3
WORD: bible, FREQ: 3
WORD: mark, FREQ: 3
WORD: chicago, FREQ: 3
WORD: sun, FREQ: 3
WORD: isaac, FREQ: 3
WORD: work, FREQ: 3
WORD: four, FREQ: 3
WORD: green, FREQ: 3
WORD: mist, FREQ: 3
WORD: stand, FREQ: 3
WORD: known, FREQ: 3
WORD: fictional, FREQ: 3
WORD: main, FREQ: 3
WORD: alive, FREQ: 3
WORD: final, FREQ: 3
WORD: like, FREQ: 3
WORD: scores, FREQ: 3
WORD: sull, FREQ: 3
WORD: aria, FREQ: 3
WORD: singing, FREQ: 3
WORD: north, FREQ: 3
WORD: weekend, FREQ: 3
WORD: average, FREQ: 3
WORD: total, FREQ: 3
WORD: theaters, FREQ: 3
WORD: november, FREQ: 3
WORD: february, FREQ: 3
WORD: grossing, FREQ: 3
WORD: video, FREQ: 3
WORD: tv, FREQ: 3
WORD: rotten, FREQ: 3
WORD: tomatoes, FREQ: 3
WORD: metacritic, FREQ: 3
WORD: gleiberman, FREQ: 3
WORD: dark, FREQ: 3
WORD: good, FREQ: 3
WORD: screen, FREQ: 3
WORD: director, FREQ: 3
WORD: feature, FREQ: 3
WORD: society, FREQ: 3
WORD: cinematographers, FREQ: 3
WORD: return, FREQ: 3
WORD: june, FREQ: 3
WORD: tnt, FREQ: 3
WORD: year, FREQ: 3
WORD: bbc, FREQ: 3
WORD: quotes, FREQ: 3
WORD: series, FREQ: 3
WORD: events, FREQ: 3
